type,Pre-COVID (2017-2019),Post-COVID (2023-2025),Relative Change (×)
ReleaseEvent,3.1240856444520078,3.7235228135520675,1.19
GollumEvent,-0.6108541431048853,-2.6888916275522035,4.4
MemberEvent,1.7503206809117993,0.30928953623054467,0.18
PublicEvent,4.230031174213474,1.4944057539815065,0.35
